amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"17,070",Operation Walk USA,,,,,"Operation Walk USA is a non-profit medical humanitarian organization that provides free hip or knee replacement surgeries for these patients. Operation Walk USA targets patients – US citizens and permanent residents – who do not qualify for government assistance programs. Harnessing a national network of volunteer hospitals, physicians, nurses, physical therapists and others, Operation Walk USA is committed to helping those in need by restoring their mobility, self dignity, productivity, and helping them return to their social world.",https://fundrazr.com/9OsT5
550,Let's help Michael Moore see color.,U.S. Dollar,,of $550 goal,18,"Michael Moore is a very hard
      working and capable member of the Airframe shop in an elite Army
      Aviation unit.  His attitude is always a morale boost and if
      anyone deserves a gift from the community and his coworkers, it is
      Moore.  All of us who see color normally understand how great of a
      blessing that is.  The gift of these glasses would give Moore the
      ability to finally experience what most of us have been so
      fortunate to have our entire lives.  He has no idea this is
      happening, so please keep the secret. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency. For more information please read about the Enchroma technology and story. Check out these reactions",https://fundrazr.com/e1NV06
"3,230",Chris & Carol need help,U.S. Dollar,"Dec 31, 2018",of $10k goal,7,"In May of 2015 Chris had his first heart attack.  In July of 2015 he
  had his second heart attack.   I know, right? It's been slow going for Chris. He is one of the small percentage of
  folks that builds up scar tissue really fast in his stints.  He had
  another catheter procedure a few weeks ago and they were able to open
  the stints up a bit and put in two more. The doctor also changed some
  of his medications.  He has a slow release nitro medication that helps
  him a bit. In the meantime since Chris has been unable to work on a regular
  basis he made the heartbreaking decision in May of 2017 to close the
  business his grandfather started back in 1947.  Boy that was hard. We've sold just about everything we can sell to stay afloat including
  part of the land. So there ya have it.  That's were we are. If you have any questions let me know.  I'll be more than happy to
  answer them.",https://fundrazr.com/315d16
349,Help me get Enchroma glasses,U.S. Dollar,,of $349 goal,7,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/71LpBa
435,Battle Batten with us,Pound Sterling,,of £100k goal,17,"Amazing parents Andrew and Sarah are raising funds to help their
  beautiful twin boys Freddie and Louie, and other children suffering
  from the rare, degenerative condition, CLN5 Batten disease. Freddie and Louie Dawkins are the only known twins in the world with
  this rare form of a rare disease. Born perfectly healthy in 2005, they
  became autistic, blind and recently developed epilepsy. When they were
  diagnosed in 2009, doctors said that without major advancements in
  medical science, there was no hope, no treatment and no cure. In February 2014 Andrew and Sarah decided to fight back through
  ‘Battle Batten’ their very own campaign to exclusively raise money for
  research into CLN5 Batten disease. Originally aiming for just £1,000, they have so far raised an
  incredible £80,000 and unbelievably commissioned two research
  projects. They are the first UK family to privately commission
  research into CLN5 Batten disease; donating funds to the Batten
  Disease Family Association (BDFA), a charity who is managing the
  projects on the family’s behalf. The cash raised in just 12 months has been unexpected, and
  emotionally overwhelming for the family and still, the momentum and
  passion is strong. The family will continue to fundraise for as long
  as they can. Proceeds will be donated to research projects and will
  buy equipment that best offers hope to children with CLN5, including
  Freddie and Louie.",https://fundrazr.com/611LCf
"43,970",Rebeccas Breast Cancer Healing Journey-Please Help,U.S. Dollar,,of $53k goal,293,"On April 9th of 2018 my wife, best friend, and mother of our 3
    boys, Rebecca Nowak was diagnosed with Invasive Ductal Carcinoma ER+
    and HER2+ an aggressive form of Breast Cancer .  When we
  received the news our worlds were flipped upside down to say the
  least.  I rushed home from work to put my arms around my wife and
  process this new reality, and within an hour received a call from the
  oncologist to come in and begin a plan of action on how we would treat
  the Cancer.  Those of you that know Rebecca know that we truly believe
  in Alternative and Natural ways of Healing, so we were caught in a
  circumstance that we needed more time to process.  We began praying
  and asking God for guidance on this Journey, and to align us with the
  right people/places, and the wisdom to make whatever decision He
  wanted us to make to get Rebecca well.  After much prayer, Receiving
  ""Signs"" and doing tons of research regarding Natural
  Treatments for Cancer we decided to send my wife to an Alternative
  Cancer Center in Tijuana Mexico. (To Read The Full Story of What Led
  us to Mexico Scroll to the bottom section of this page) Since the Diagnosis, and the First trip to Mexico, we discovered that
  the Cancer has Tripled in size, Metastasized to her Lymph nodes and
  possibly her liver.  We are at a point where we need to combat this
  cancer full force but are running out of funds to do so.  Meanwhile,
  The Cancer continues to takes it's toll on Rebecca's body.  This
  morning at 4am I woke up to find my wife sobbing by my side and
  telling me that she's scared and that her whole body hurts, especially
  her liver and back.  The Cancer is growing at a pace greater than the
  treatment that we have been able to give her up to now.  We need to
  get Rebecca to Mexico for an extended stay of 3-4 weeks where she will
  be monitored constantly and given the most aggressive treatments
  possible to counteract what the Cancer is currently doing.  Some of
  the treatments will include Vitamin C, Ozone, Letrile and IUV
  therapies along with a Natural Cancer Killing Tonic, Natural Form of
  ""Chemo"" (Kills the Cancer Cells without Killing the Good
  Cells), and an Estrogen Receptor Blocker because the Cancer is
  Estrogen Fed.   The cost of Rebecca's Treatment, Testing, Scans, for
  3-4 weeks  will cost $53,000. To all of our family and friends that have taken time to read
    this, Thank you.  Please share with your family, church family and
    friends as well.  We will need your help to reach this goal. -Justin Nowak The Full Story on What led us to Mexico In November 2017 Rebecca had a Thermogram done to check for Breast
  Cancer due to a suspicious lump in her breast.  She was given a clean
  bill of health and told by the Thermographer that it was nothing to be
  concerned with and not Cancer.  We were relieved at that point and
  went on with our lives but the lump continued to increase in size. 
  Five Months Later on April 3rd we scheduled a Biopsy which confirmed
  that it was in fact Grade 3 Invasive Ductal Carcinoma ER+ and HER2+. 
  The news was devastating and we began to pray for signs and direction
  from God on what to do next.  After weeks of doing it on our own with
  a strict diet change, supplements, and cleansing the lymphatic system,
  with no real improvement, we realized that we needed to get my wife in
  the care of specialists.   Rebecca decided to call the Thermographer
  to let her know that she misdiagnosed us, she apologized and explained
  that most scan and tests are never 100% accurate and they always
  recommend a second opinion if we have concerns.  She also told Rebecca
  that she understood what she was going through because 30 years ago
  she was diagnosed with breast cancer and she beat it naturally at an
  Alternative Treatment Center in Tijuana, Mexico.  Then she proceeded
  to tell Rebecca that she had sent over 500 patients to this clinic in
  the past 15 years and they have all been healed naturally of Cancer. The following morning I was looking through unpacked boxes (We had
  just finished a move to Idaho from California when she was diagnosed)
  trying to find a power cord for the printer to print up some
  documents, with no luck.  On the 20th or so box that I cut open, I
  found a white bag with a bright yellow business card in it.  The color
  of the card caught my attention so I picked it up.  The business card
  was for the same clinic in Mexico and on the back of the card, it read
  Ogden, IA. I was in awe, so I asked my wife where
  she got this card from?  She was blown away to and had forgotten all
  about the card.  She proceeded to tell me that an older gentleman that
  used to come into her work in Iowa gave it to her and said, ""If you, or anyone that you know ever gets cancer, you
    should go to this place, they saved my life and they can save
  yours"" .  Rebecca had this card for 12 years.  It made it
  from Iowa, to 4 different homes in California and now to Idaho to be
  found within hours of hearing about this clinic for the first time
  ever from the Thermographer. Four days later, I was at a swap meet in Garden City, ID.  Within a
  few minutes of being there, I see a guy wearing a Classic Ford Bronco
  Shirt which catches my attention because I sell Classic Ford Bronco
  parts for a living and I own a Classic Ford Bronco, so I say,
  ""Hey man, I like your shirt"" After talking Trucks with him
  for a few minutes, we find out that I have sold him parts in the past
  and he knew who I was. I explained the situation to him about my wife
  and he proceeds to tell me about his mother passed from Breast
  Cancer.  When I told him that we were sending my wife to an
  Alternative Treatment Center in Mexico, his face lit up and he
  proceeds to tell me that his friends wife was battling Cancer for
  years and had been given 3 weeks to live by her
  Dr’s. They wanted to give her one more round of
  Chemo in hopes that it would help, but she refused.  With nothing else
  to lose, she decided to go to a treatment center in Mexico which ended
  up being the same Clinic that my wife and I are going to, and is alive
  and well today",https://fundrazr.com/e1Nbl6
"3,255",I'm living my bucket list.,Canadian Dollar,"Nov 12, 2018",of $4k goal,31,"I'm a 56 year old wife, mother, sister, friend, an ordinary person
  and I'm choosing to live before I die. I don't want to look back and
  say I wish I would have ......... so I'm reaching out to the universe
  to help me check of my train trip off my bucket list. My family lives modestly, works hard but has no budget for play. I
  recently left my job due to health cercumstances and believe this
  bucket list project will be the boost I need to get me through this
  difficult time. I would love the opportunity to ride the rails coast to coast. I
  don't need a fancy cabin just a rail pass and the time to experience
  the almost spiritual nature of solitary travel. Thank you for your generosity and compassion. The money raised will
  go toward the train ticket and lodging. The trip will take several on,
  off connections between cities so economy lodging is a part of the cost. Without your help this would not be possible.",https://fundrazr.com/c1Oi88
"631,762",British Gut,,,,,"This is a unique open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, it will then be sent to the Knight Lab at the
    University of California San Diego to be processed and analyzed. We estimate that the whole process will take about 4-5 months . Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized interpretation . It will take longer than the expected 4-5 months to receive
      results if you are submitting one of the following sample types: Oral, skin, animal, and environmental samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
"5,000",Please Help Olesia Walk Again,Russian Ruble,,of ₽700k goal,2,"Hi there! My name is Olesia, and I extremely need your help. I know
  there are too many stories like this on the internet these days, so,
  all I hope for is that you read this to the end, and then decide
  whether you want to support my cause. Any tiny bit of your help
  counts, including advice. In 2015, I had to undergo four spinal surgeries in a row. However, I
  never recovered, and even developed additional troubles. Since then, I
  can hardly walk with a walking aid. During these past three years,
  I've been basically left alone to deal with my problems, but not only
  did my efforts to get back on my feet prove useless, my condition has
  actually even aggravated, and slowly keeps doing so. These days, I
  barely leave my apartment. Basically, I cannot leave it without
  someone's assistance. What makes it even harder, I can neither sit not
  stand for long because of strong back pain and increasing numbness in
  my legs. In my country, the doctors are rather skeptical about my condition,
  which is awfully discouraging. However, I started searching for
  opportunities abroad, and found this one surgeon willing to try and
  help with my case: http://www.dr-bertagnoli.com He believes that, most likely, another surgery is needed to solve at
  least part of my problems. But so far, it is only a question of
  thourough examination to establish the treatment strategy. Anyway, he
  sees chances of improvement, and after hearing 'no way' for so many
  times, it is really like a breath of fresh air. However, here I stumble upon another predictable problem: money. The pre-surgery examination will cost EUR 10,000 to 13,000. The surgery, if all is fine and it follows, is roughly estimated
  at EUR 130,000. These are amounts I cannot possibly afford. And then again, I
  don't even know yet how much I'll have to spend on my recovery
  afterwards, nor how long it will take. I have to admit that money was never my life priority. I probably
  never had much, but I used to think I had enough. Now things prove me wrong. I have been trying to collect the necessary amount with the help
  of friends, acquaintances, friends of friends, etc. But it is still
  not enough. Also, I have to deal with my running expenses, which has
  become tricky, too. Being currently unable to work, and with a monthly
  disability allowance of less than USD 130, I have already come to the
  point where I barely cover my basic medical bills. I keep looking for and trying every opportunity I come across. I keep
  searching for other, better, and hopefully more affordable, options.
  But there are none so far. I desperately want to walk again. I know that, even with all the
  empathy, you can't quite understand the feeling. I hope you can't. The
  only way for such understanding is to go through similar kind of
  experience, and it's really something I wish no one ever had to do. It's not just the physical pain. I am the kind of person who
  likes to spend a lot of time on foot, who manages to do everything
  while walking – reading, studying and working included. Or rather, I
  used to be this kind of person. In a stressful situation, or just to
  sort some thoughts out, I would always go for a walk, and I could
  spend hours like this. Now, I am deprived of this opportunity, as well
  as of many other things I appreciated so much in my life. I also feel
  very old, since I invest most of my time in treating my deseases and
  talking about them. Every day I wake up broken, and every day I
  have to get myself together again. I don't want to be like this. Nor do I want to be a burden on my
  parents' shoulders. Honestly, I could never have thought that, at my
  age, they will have to take care of me, not vice versa. I strongly believe that in the modern world, where they manage to
  help fully paralyzed people, there must be a possibility for me to
  recover, if not fully, then to a certain extent. I just should somehow
  get access to this possibility. I just have to use every chance to
  improve my condition, no matter how unattainable it seems. But, in any
  case, I can't do it on my own. Not anymore. I have already exhausted
  all my resources. All I can do now is count on support from others and
  hope it will all somehow work out. I hope that you take part in this and give me a chance. Thank
  you in advance for your help! I do appreciate it greatly.",https://fundrazr.com/pleasehelpolesia
"3,000",Fundraising for Operation & Hospital Bills,,,,,"We have an uncle was recently involved in a vehicular accident.
    Tito Borromeo or Tito Ot as we call him was driving a motocycle when
    he crashed into another motorbike carrying two passengers. Our uncle
    is now suffering from a broken arm and a broken leg. It was just like any other day. My uncle was transporting some
    crushed ice for a small fruit shake stand that he had and he was
    trying to make a living for his family. For me, he is the coolest uncle in the world. My siblings, my
    cousins and I love him very much. We are so grateful to have him
    alive. Tragedy chooses no one. And our uncle needs surgery. There is
    much to be said about the health care system in the Philippines.
    Surgery is quite costly in the Philippines so we implore you to help
    us collect some donation for his operation, even just for a small
    amount. A small help can go a long way. For direct php account donations: Josefina Marie Santoyo BDO acct number: 0780794826 Friends in Norway: Mary Xeline Santoyo Acct number: 1214.39.42110 Or Vipps: 91394836 100% of donations will be given directly to hospital bills and medications. Thank you so much in advance!❤️",https://fundrazr.com/51PFHd
